Origin,Acc_exponential,Acc_cumulative
110609012,285524.1077464903,547002
110609013,309766.28609005106,547002
110609014,301128.3188098928,547002
110609015,309283.6131261441,547002
110609016,304683.50948900747,547002
110609017,310771.2166226639,547733
110609018,309578.62890265137,547002
110609019,300279.1829011881,547002
110610001,303847.75789495575,547733
110610002,313722.56567927805,547733
110610003,312970.60773001146,547733
110610004,318388.6330738263,547733
110610005,296532.70354665845,547733
110610006,308006.4546717361,547733
110610007,296964.64661263925,547733
110610008,290885.1991462045,547733
110610009,298679.6291543315,547733
110610010,289932.18162380817,547733
110610011,298507.81831466645,547733
110610012,304384.6731127938,547733
110610013,303272.94855242124,547733
110610014,300010.8594182161,547733
110610015,294163.22079272725,547733
110610016,294504.3342329604,547733
110610017,304305.96040502,547733
110610018,297677.1928406175,547733
110610019,305667.57942733495,547733
110610020,298320.06977736444,547733
110610021,289838.1643795138,547733
110610022,293402.6243539489,547733
110610023,292154.039679375,547733
110610024,306621.2697249285,547733
110610025,295576.5103120843,547733
110610026,291655.4959841532,547733
110610027,299786.72195953835,547733
110610028,297957.71772108995,547733
110610029,301725.5653385834,547733
110610030,292135.2090021015,547733
110610031,295800.2500865575,547733
110610032,292616.0635141376,547733
110611001,252488.8299430538,537648
110611002,258738.02501124053,539840
110611003,261541.89251275742,543198
110611004,254371.99078887593,537648
110611005,263878.5870724914,543909
110611006,257982.23173109282,538677
110611007,269974.8336532389,545930
110611008,273754.4469108586,546296
110611009,257582.86119910883,538677
110611010,279290.0868451436,546651
110611011,248208.18788988964,533685
110611012,268972.1282363543,545575
110611013,276236.6561508366,546296
110611014,276333.6346043013,546296
110611015,259191.02351465356,543862
110611016,286229.6820754677,547002
110611017,280046.42039358354,546651
110611018,295446.6929745664,547733
110611019,277558.5304760296,546651
110611020,284423.79473725567,547002
110611021,278610.54977900174,546651
110611022,279806.5658231988,546651
110611023,285149.5566433101,547002
110611024,273977.14197360695,546296
110611025,287396.8201624334,547002
110611026,289902.70088087453,547002
110611027,279421.05644490407,546651
110611028,283672.2780331945,546651
110611029,265197.4913204582,545575
110611030,288380.34709768306,547002
110611031,282062.772222371,547002
110611032,284311.9265150514,547002
110611033,282800.7805701761,546647
110611034,291965.9913799127,547677
110611035,274934.54342507746,546296
110612001,236333.09193273462,538890
110613001,239836.77785303624,512331
110613002,255282.12016597606,543043
110613003,257344.78665043507,543043
110613004,249143.3722981884,529994
110613005,268185.12017962395,546194
110613006,264829.824611995,546194
110613007,266006.8314585368,546194
110613008,261697.56291027216,544638
110613009,261527.60753068255,543879
110613010,266572.32904133404,546194
110613011,259681.1554128651,542789
110613012,261936.0040457883,544592
110613013,268771.87118472543,546194
110613014,274667.52665260906,546647
110614001,305856.6113631084,547733
110614002,306134.9585751364,547733
110614003,299604.04015960457,547733
110614004,305140.38471148675,547733
110614005,302474.5292975845,547733
110614006,296045.94660331093,547733
110614007,290658.5501757717,547733
110614008,311719.1023070875,547733
110614009,289887.6209132258,547733
110614010,294311.60526240733,547733
110614011,292951.7501588409,547733
110614012,278534.0792635443,547677
110614013,302530.9398812801,547733
110615001,280699.38729942596,547733
110615002,273403.43500305305,547002
110615003,262174.2373867072,546040
110615004,261376.89506636714,547002
110615005,253232.45899411794,544602
110615006,269884.0103486214,547002
110615007,265694.61575771327,547002
110616001,271971.70614607615,546461
110616002,259529.88917836192,546461
110616003,260725.6452371134,546461
110616004,272444.94132615894,546461
110616005,253581.6755445836,546461
110616006,266601.8651134848,546461
110616007,251098.81558086385,546461
110616008,267663.77795664844,546461
110616009,263562.8762662296,546461
110616010,259398.13419199784,546461
110616011,260808.43119313268,546461
110616012,267255.6972291565,547002
110617001,280210.1437370134,546771
110617002,269727.4445791969,546771
110617003,261464.57690016236,543667
110617004,275718.47830370866,546771
110617005,271800.9259579762,546771
110617006,272212.1613545279,546771
110617007,277968.73297485703,546771
110617008,263743.4596498758,545277
110617009,276186.05569742393,546771
110617010,258192.54806243666,542988
110617011,264650.85051453824,543667
110617012,254161.59903149027,542936
110617013,266488.95251727384,545333
110617014,259618.9504497663,543100
110617015,263533.4214273437,543667
110617016,260317.55742835312,545333
110618001,268784.29311571724,545467
110618002,251392.08724880562,535838
110618003,259283.72859142968,542278
110618004,269694.4911304567,545145
110618005,276888.5053335541,546647
110618006,272232.0058611766,545467
110618007,260658.61826095698,542693
110618008,279822.39771378884,546647
110618009,273602.06223527004,546647
110618010,274637.65958021226,546647
110618011,269958.19784693944,546647
110618012,279359.91719719017,547002
110618013,281910.9108366143,546647
110618014,267719.25077040255,546647
110618015,275474.27939145686,547002
