Destination_Code,Residents
110641004,350
110641005,821
110641006,561
110641007,411
110641008,539
110641009,516
110641010,238
110641011,272
110641012,607
110641013,434
110641014,520
110641015,525
110641016,845
110641017,298
110641018,433
110641019,645
110641020,511
110641021,682
110641022,374
110641023,365
110641024,316
110641025,633
110641026,414
110641027,637
110641028,506
110641029,781
110641030,462
110642001,336
110642002,471
110642003,744
110642004,583
110642005,490
110642006,735
110642007,550
110642008,568
110642009,514
110642010,584
110642011,603
110642012,495
110642013,571
110642014,571
110642015,549
110642016,492
110642017,567
110642018,340
110642019,482
110642020,445
110642021,475
110642022,562
110643001,375
110643002,420
110643003,696
110643004,461
110643005,325
110643006,449
110643007,498
110643008,600
110643009,459
110643010,337
110643011,530
110643012,502
110643013,433
110643014,474
110643015,512
110643016,531
110643017,801
110643018,420
110643019,502
110643020,473
110644001,543
110644002,678
110644003,531
110644004,413
110644005,660
110644006,495
110644007,451
110644008,407
110644009,516
110644010,348
110644011,418
110644012,472
110644013,176
110644014,292
110644015,458
110644016,561
110644017,505
110644018,458
110644019,517
110644020,454
110644021,487
110644022,414
110644023,190
110644024,387
110644025,553
110644026,899
110644027,652
110644028,573
110644029,140
110644030,663
110644031,631
110644032,424
110644033,347
110644034,452
110644035,461
110644036,348
110644037,513
110644038,373
110644039,555
110645001,309
110645002,332
110645003,226
110645004,426
110645005,314
110645006,178
110645007,352
110645008,227
110645009,382
110646001,489
110646002,492
110646003,665
110646004,512
110646005,448
110646006,263
110646007,526
110646008,337
110646009,570
110646010,342
110646011,372
110646012,404
110647001,389
110647002,344
110647003,421
110647004,377
110648001,101
110648002,187
110648003,265
110648004,179
110648005,353
110648006,146
110649001,424
110649002,453
110649003,396
110649004,352
110649005,350
110649006,461
110649007,292
110650001,490
110650002,485
110650003,605
110650004,451
110650005,456
110650006,352
110650007,320
110650008,381
110650009,253
110650010,302
110650011,156
110650012,350
110650013,223
110650014,273
110650015,462
110650016,783
110651001,496
110651002,439
110651003,449
110651004,415
110651005,239
110651006,509
110651007,366
110651008,309
110651009,317
110652001,334
110652002,376
110652003,200
110653001,703
110653002,440
110653003,407
110653004,267
110653005,375
110653006,507
110653007,366
